AnnoS;Lau_Ms;Lau_Fs;Lau_S;fonte dati
2020;6597;9051;15648;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2019;6274;8546;14820;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2018;5438;7730;13168;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2017;4896;7358;12254;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2016;4618;7191;11809;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2015;4551;6839;11390;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2014;4298;6666;10964;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2013;3962;6279;10241;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2012;3539;5853;9392;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2011;3143;5145;8288;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2010;3036;4813;7849;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021
2009;2590;4151;6741;Rilevazione Istruzione Universitaria
2008;2379;3891;6270;Rilevazione Istruzione Universitaria
2007;2163;3679;5842;Rilevazione Istruzione Universitaria
2006;1866;3221;5087;Rilevazione Istruzione Universitaria
2005;1667;2771;4438;Rilevazione Istruzione Universitaria
