AnnoS;CorsoTIPO;SESSO;Lau
2020;Laurea - dm 270/04;M;84357
2020;Laurea Specialistica a Ciclo Unico - dm 509/99;M;350
2020;Laurea Specialistica - dm 509/99;F;131
2020;Corsi di Laurea - vecchio ordinamento;F;524
2020;Laurea  - dm 509/99;M;832
2020;Laurea Magistrale - dm 270/04;M;48908
2020;Laurea Magistrale a Ciclo Unico - dm 270/04;F;25002
2020;Laurea Specialistica - dm 509/99;M;130
2020;Corsi di Laurea - vecchio ordinamento;M;273
2020;Laurea  - dm 509/99;F;881
2020;Laurea Specialistica a Ciclo Unico - dm 509/99;F;584
2020;Laurea - dm 270/04;F;109108
2020;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13616
2020;Laurea Magistrale - dm 270/04;F;60154
2019;Corsi di Laurea - vecchio ordinamento;M;379
2019;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24767
2019;Laurea  - dm 509/99;F;1440
2019;Laurea Specialistica - dm 509/99;F;174
2019;Laurea Magistrale - dm 270/04;M;47508
2019;Laurea - dm 270/04;F;107681
2019;Laurea Specialistica a Ciclo Unico - dm 509/99;F;799
2019;Corsi di Laurea - vecchio ordinamento;F;847
2019;Laurea  - dm 509/99;M;1356
2019;Laurea Specialistica a Ciclo Unico - dm 509/99;M;501
2019;Laurea Magistrale - dm 270/04;F;57818
2019;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13933
2019;Laurea - dm 270/04;M;82839
2019;Laurea Specialistica - dm 509/99;M;258
2018;Laurea Magistrale - dm 270/04;F;54076
2018;Laurea  - dm 509/99;F;2072
2018;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24671
2018;Laurea Specialistica a Ciclo Unico - dm 509/99;M;789
2018;Corsi di Laurea - vecchio ordinamento;F;1021
2018;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14416
2018;Laurea Specialistica - dm 509/99;M;475
2018;Laurea Specialistica a Ciclo Unico - dm 509/99;F;1241
2018;Laurea  - dm 509/99;M;1889
2018;Laurea Magistrale - dm 270/04;M;44178
2018;Laurea - dm 270/04;F;103555
2018;Corsi di Laurea - vecchio ordinamento;M;494
2018;Laurea Specialistica - dm 509/99;F;274
2018;Laurea - dm 270/04;M;78516
2017;Laurea Magistrale - dm 270/04;F;52908
2017;Laurea  - dm 509/99;M;3012
2017;Laurea - dm 270/04;F;100025
2017;Laurea Specialistica - dm 509/99;M;480
2017;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13988
2017;Corsi di Laurea - vecchio ordinamento;M;660
2017;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1170
2017;Corsi di Laurea - vecchio ordinamento;F;1456
2017;Laurea - dm 270/04;M;74050
2017;Laurea Specialistica a Ciclo Unico - dm 509/99;F;1795
2017;Laurea Specialistica - dm 509/99;F;384
2017;Laurea  - dm 509/99;F;3385
2017;Laurea Magistrale - dm 270/04;M;41328
2017;Laurea Magistrale a Ciclo Unico - dm 270/04;F;23581
2016;Laurea Magistrale - dm 270/04;M;39546
2016;Laurea - dm 270/04;F;96719
2016;Laurea  - dm 509/99;M;4960
2016;Laurea Specialistica - dm 509/99;F;595
2016;Laurea - dm 270/04;M;70584
2016;Laurea Specialistica - dm 509/99;M;647
2016;Laurea Magistrale a Ciclo Unico - dm 270/04;F;20829
2016;Laurea  - dm 509/99;F;5484
2016;Laurea Specialistica a Ciclo Unico - dm 509/99;F;2966
2016;Corsi di Laurea - vecchio ordinamento;M;828
2016;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1929
2016;Corsi di Laurea - vecchio ordinamento;F;2445
2016;Laurea Magistrale a Ciclo Unico - dm 270/04;M;12960
2016;Laurea Magistrale - dm 270/04;F;51433
2015;Laurea Specialistica a Ciclo Unico - dm 509/99;F;5142
2015;Laurea  - dm 509/99;F;9581
2015;Laurea Specialistica - dm 509/99;M;1126
2015;Laurea - dm 270/04;M;65378
2015;Laurea Magistrale - dm 270/04;M;37452
2015;Corsi di Laurea - vecchio ordinamento;F;4319
2015;Laurea Magistrale a Ciclo Unico - dm 270/04;M;10680
2015;Laurea Magistrale a Ciclo Unico - dm 270/04;F;16253
2015;Laurea  - dm 509/99;M;8086
2015;Laurea Magistrale - dm 270/04;F;49525
2015;Laurea Specialistica a Ciclo Unico - dm 509/99;M;3184
2015;Laurea - dm 270/04;F;92152
2015;Corsi di Laurea - vecchio ordinamento;M;1160
2015;Laurea Specialistica - dm 509/99;F;1021
2014;Laurea Magistrale - dm 270/04;F;48684
2014;Corsi di Laurea - vecchio ordinamento;F;7185
2014;Laurea Specialistica a Ciclo Unico - dm 509/99;M;4456
2014;Laurea Magistrale a Ciclo Unico - dm 270/04;F;12789
2014;Laurea - dm 270/04;M;57797
2014;Corsi di Laurea - vecchio ordinamento;M;1644
2014;Laurea Specialistica a Ciclo Unico - dm 509/99;F;7521
2014;Laurea Specialistica - dm 509/99;F;2072
2014;Laurea  - dm 509/99;F;20371
2014;Laurea Magistrale a Ciclo Unico - dm 270/04;M;8536
2014;Laurea - dm 270/04;F;83472
2014;Laurea Specialistica - dm 509/99;M;2048
2014;Laurea  - dm 509/99;M;15687
2014;Laurea Magistrale - dm 270/04;M;35833
2013;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5276
2013;Corsi di Laurea - vecchio ordinamento;M;2250
2013;Laurea  - dm 509/99;M;29182
2013;Laurea Specialistica - dm 509/99;F;5186
2013;Laurea Magistrale a Ciclo Unico - dm 270/04;M;7491
2013;Laurea Magistrale - dm 270/04;F;45267
2013;Laurea Specialistica - dm 509/99;M;4818
2013;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8559
2013;Laurea  - dm 509/99;F;41208
2013;Laurea Magistrale - dm 270/04;M;32964
2013;Laurea Magistrale a Ciclo Unico - dm 270/04;F;10896
2013;Laurea - dm 270/04;M;44020
2013;Corsi di Laurea - vecchio ordinamento;F;7618
2013;Laurea - dm 270/04;F;63264
2012;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5298
2012;Laurea Magistrale a Ciclo Unico - dm 270/04;M;6869
2012;Laurea  - dm 509/99;M;43161
2012;Laurea Specialistica - dm 509/99;M;12724
2012;Laurea Magistrale - dm 270/04;M;24712
2012;Laurea - dm 270/04;F;41348
2012;Laurea - dm 270/04;M;27857
2012;Laurea Magistrale a Ciclo Unico - dm 270/04;F;9174
2012;Laurea Magistrale - dm 270/04;F;37120
2012;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8629
2012;Laurea Specialistica - dm 509/99;F;13365
2012;Corsi di Laurea - vecchio ordinamento;F;9102
2012;Corsi di Laurea - vecchio ordinamento;M;3193
2012;Laurea  - dm 509/99;F;60284
2011;Laurea Magistrale - dm 270/04;F;21754
2011;Laurea  - dm 509/99;F;82749
2011;Laurea - dm 270/04;M;10608
2011;Laurea Magistrale a Ciclo Unico - dm 270/04;F;7550
2011;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8316
2011;Corsi di Laurea - vecchio ordinamento;M;4656
2011;Laurea Specialistica - dm 509/99;F;27525
2011;Laurea Magistrale a Ciclo Unico - dm 270/04;M;5677
2011;Laurea - dm 270/04;F;15855
2011;Laurea Specialistica - dm 509/99;M;23433
2011;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5138
2011;Laurea Magistrale - dm 270/04;M;13480
2011;Laurea  - dm 509/99;M;59006
2011;Corsi di Laurea - vecchio ordinamento;F;11275
2010;Laurea Magistrale a Ciclo Unico - dm 270/04;F;5460
2010;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8848
2010;Laurea  - dm 509/99;M;66269
2010;Laurea Magistrale - dm 270/04;M;3691
2010;Laurea Specialistica - dm 509/99;F;40558
2010;Corsi di Laurea - vecchio ordinamento;M;6332
2010;Corsi di Laurea - vecchio ordinamento;F;12380
2010;Laurea Magistrale a Ciclo Unico - dm 270/04;M;3466
2010;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5011
2010;Laurea - dm 270/04;M;2442
2010;Laurea Specialistica - dm 509/99;M;30780
2010;Laurea Magistrale - dm 270/04;F;5599
2010;Laurea - dm 270/04;F;2731
2010;Laurea  - dm 509/99;F;92608
